,schoolId,schoolNm,schoolSe,fondDate,fondType,bnhhSe,operSttus,lnmadr,rdnmadr,cddcCode,cddcNm,edcSport,edcSportNm,creatDate,changeDate,latitude,longitude,referenceDate,insttCode
153,B000002068,서울월계초등학교,초등학교,1993-05-06,공립,본교,운영,서울특별시 노원구 월계동 561,서울특별시 노원구 월계로45가길 10,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-19,37.6276242,127.0501876,2020-09-22,7001220
154,B000013477,우신고등학교,고등학교,1974-03-05,사립,본교,운영,서울특별시 구로구 궁동 230,서울특별시 구로구 부일로 917,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-19,37.49490231,126.8263536,2020-09-22,7001220
155,B000012812,주천고등학교,고등학교,1946-04-01,공립,본교,운영,강원도 영월군 주천면 주천리 1430,강원도 영월군 주천면 주천로89번길 41,7800000,강원도교육청,7901000,강원도영월교육지원청,2013-11-29,2020-09-19,37.27355179,128.2650794,2020-09-22,7001220
156,B000003451,대전신계초등학교,초등학교,2005-09-01,공립,본교,운영,대전광역시 서구 복수동 452,대전광역시 서구 복수동로 26,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2020-09-19,36.301952,127.3780278,2020-09-22,7001220
157,B000022940,강경상업고등학교,고등학교,1920-05-25,공립,본교,운영,충청남도 논산시 강경읍 남교리 1,충청남도 논산시 강경읍 계백로 220,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2013-11-29,2020-09-19,36.16142445,127.023298,2020-09-22,7001220
158,B000005014,근덕초등학교,초등학교,1922-05-17,공립,본교,운영,강원도 삼척시 근덕면 교가리 1124-2,강원도 삼척시 근덕면 삼척로 3653,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,2020-09-19,37.38092428,129.2244956,2020-09-22,7001220
159,B000003181,송해초등학교,초등학교,1933-10-06,공립,본교,운영,인천광역시 강화군 송해면 솔정리 640,인천광역시 강화군 송해면 전망대로 93-12,7310000,인천광역시교육청,7351000,인천광역시강화교육지원청,2013-11-29,2020-09-19,37.7694551,126.4610541,2020-09-22,7001220
160,B000003174,양도초등학교,초등학교,1918-04-01,공립,본교,운영,인천광역시 강화군 양도면 삼흥리 288,인천광역시 강화군 양도면 강화남로 1036,7310000,인천광역시교육청,7351000,인천광역시강화교육지원청,2013-11-29,2020-09-19,37.6889716,126.4193695,2020-09-22,7001220
161,B000012960,대흥고등학교,고등학교,1966-02-22,사립,본교,운영,충청남도 예산군 대흥면 상중리 231,충청남도 예산군 대흥면 예당로 845,8140000,충청남도교육청,8271000,충청남도예산교육지원청,2013-11-29,2020-09-19,36.60548656,126.7916056,2020-09-22,7001220
162,B000009073,성안중학교,중학교,2001-03-05,공립,본교,운영,울산광역시 중구 성안동 519-8,울산광역시 중구 성안2길 30,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2020-09-19,35.5727804,129.3178978,2020-09-22,7001220
163,B000003499,성안초등학교,초등학교,1962-03-01,공립,본교,운영,울산광역시 중구 성안동 797-1,울산광역시 중구 함월14길 19,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2020-09-19,35.57656119,129.3124344,2020-09-22,7001220
164,B000008486,다송중학교,중학교,1993-03-05,공립,본교,운영,부산광역시 사하구 다대동 95,부산광역시 사하구 다송로 55,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2020-09-19,35.06434989,128.9847862,2020-09-22,7001220
165,B000005840,합천초등학교,초등학교,1970-03-01,공립,본교,운영,충청남도 청양군 화성면 산정리 243,충청남도 청양군 화성면 무한로 88,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2013-11-29,2020-09-19,36.42586476,126.7146112,2020-09-22,7001220
166,B000010266,군산대성중학교,중학교,1966-03-11,사립,본교,운영,전라북도 군산시 임피면 읍내리 535-4,전라북도 군산시 임피면 임피향교길 44-6,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2013-11-29,2020-09-19,35.98863023,126.8486974,2020-09-22,7001220
