,의료기관명,의료기관종별,의료기관주소(도로명),lat_lng,lat,lng
1440,플러스약국,약국,울산광역시 중구 시계탑거리 19 (옥교동),"{'lat': 35.5544044, 'lng': 129.3219458}",35.5544044,129.3219458
1441,학성약국,약국,"울산광역시 중구 염포로 17, 1층 (반구동)","{'lat': 35.55945320000001, 'lng': 129.3434102}",35.55945320000001,129.3434102
1442,한마음약국,약국,"울산광역시 중구 장춘로 171, 1층 (학산동)","{'lat': 35.5551308, 'lng': 129.3276059}",35.5551308,129.3276059
1443,한사랑약국,약국,울산광역시 중구 번영로 475 (복산동),"{'lat': 35.56170600000001, 'lng': 129.3313444}",35.56170600000001,129.3313444
1444,함제약국,약국,"울산광역시 중구 학성로 166, 1층 (학성동)","{'lat': 35.5565202, 'lng': 129.3291145}",35.5565202,129.3291145
1445,함지약국,약국,"울산광역시 중구 화진길 26, 지하1층 (태화동)","{'lat': 35.5541355, 'lng': 129.3076696}",35.5541355,129.3076696
1446,해강약국,약국,"울산광역시 중구 곽남5길 22, 1층 (남외동)","{'lat': 35.5707981, 'lng': 129.34185}",35.5707981,129.34185
1447,햇빛약국,약국,"울산광역시 중구 함월6길 66, 104호 (성안동)","{'lat': 35.5751375, 'lng': 129.3081797}",35.5751375,129.3081797
1448,행복한약국,약국,"울산광역시 중구 번영로 484, 1층 (반구동)","{'lat': 35.5680961, 'lng': 129.3424911}",35.5680961,129.3424911
1449,허브약국,약국,"울산광역시 중구 남외2길 36, 1층 (남외동, 맘스빌딩)","{'lat': 35.5650415, 'lng': 129.3507934}",35.5650415,129.3507934
1450,호호약국,약국,"울산광역시 중구 종가6길 32, 201,202호 (우정동)","{'lat': 35.5685141, 'lng': 129.3110626}",35.5685141,129.3110626
1451,황제약국,약국,울산광역시 중구 중앙길 85-1 (성남동),"{'lat': 35.5555729, 'lng': 129.3180385}",35.5555729,129.3180385
1452,효성약국,약국,"울산광역시 중구 남외2길 50, 105호 (남외동, 트레져프라자)","{'lat': 35.5682186, 'lng': 129.3503274}",35.5682186,129.3503274
1453,효정약국,약국,"울산광역시 중구 성안로 200, 1층 (성안동)","{'lat': 35.5777469, 'lng': 129.3185143}",35.5777469,129.3185143
1454,희망약국,약국,"울산광역시 중구 번영로 590, 유림빌딩 103호 (남외동)","{'lat': 35.5712208, 'lng': 129.344199}",35.5712208,129.344199
1455,울산탑약국,약국,"울산광역시 남구 삼산로 269, 1층 (삼산동)","{'lat': 35.5394631, 'lng': 129.3365366}",35.5394631,129.3365366
1456,타임약국,약국,"울산광역시 남구 수암로 138, 타임스퀘어 1층 122호 (야음동)","{'lat': 35.5269997, 'lng': 129.3219096}",35.5269997,129.3219096
1457,울대정문약국,약국,"울산광역시 남구 대학로94번길 6, 1층 전면우측호 (무거동)","{'lat': 35.5431032, 'lng': 129.2603932}",35.5431032,129.2603932
1458,무거우리들약국,약국,"울산광역시 남구 북부순환도로 5, 1층 101호 (무거동)","{'lat': 35.5510118, 'lng': 129.2645591}",35.5510118,129.2645591
1459,홍은약국,약국,"울산광역시 남구 수암로105번길 3, 1층 (신정동)","{'lat': 35.5291958, 'lng': 129.31923}",35.5291958,129.31923
1460,다나약국,약국,"울산광역시 남구 수암로 42, 1층 101호 (신정동)","{'lat': 35.53109690000001, 'lng': 129.3126863}",35.53109690000001,129.3126863
1461,새봄약국,약국,"울산광역시 남구 번영로 195, 107호 (신정동, 동문아뮤티)","{'lat': 35.5427962, 'lng': 129.3252631}",35.5427962,129.3252631
1462,밝은약국,약국,"울산광역시 남구 삼산로 213, 1층 (달동)","{'lat': 35.5383213, 'lng': 129.3304086}",35.5383213,129.3304086
1463,지니약국,약국,"울산광역시 남구 삼산중로 86, 1층 (삼산동)","{'lat': 35.5412275, 'lng': 129.3357531}",35.5412275,129.3357531
1464,맑은하늘약국,약국,울산광역시 남구 삼산로 171 (달동),"{'lat': 35.5373972, 'lng': 129.3259297}",35.5373972,129.3259297
1465,무지개약국,약국,"울산광역시 남구 북부순환도로 24, 1층 (무거동)","{'lat': 35.5515183, 'lng': 129.266453}",35.5515183,129.266453
1466,참조은약국,약국,"울산광역시 남구 수암로 134, 1층 (야음동)","{'lat': 35.5272517, 'lng': 129.3216999}",35.5272517,129.3216999
1467,삼산현대약국,약국,울산광역시 남구 삼산중로 69 (달동),"{'lat': 35.5397237, 'lng': 129.3351426}",35.5397237,129.3351426
1468,거봉약국,약국,"울산광역시 남구 삼산중로 71, 1층 (달동)","{'lat': 35.5398854, 'lng': 129.3350295}",35.5398854,129.3350295
1469,e조은약국,약국,"울산광역시 남구 북부순환도로 45, 1층 (무거동)","{'lat': 35.5526541, 'lng': 129.2684958}",35.5526541,129.2684958
1470,경희약국,약국,"울산광역시 남구 번영로 109, 106호 (달동)","{'lat': 35.5351027, 'lng': 129.3285317}",35.5351027,129.3285317
1471,한사랑약국,약국,"울산광역시 남구 신복로72번길 26, 101호 (무거동)","{'lat': 35.5517864, 'lng': 129.2546926}",35.5517864,129.2546926
1472,신정현대약국,약국,울산광역시 남구 삼산로 19 (신정동),"{'lat': 35.5337485, 'lng': 129.3096597}",35.5337485,129.3096597
1473,울산21세기약국,약국,"울산광역시 남구 남중로 48, 울산점 EMART (삼산동)","{'lat': 35.537956, 'lng': 129.3483323}",35.537956,129.3483323
1474,삼산하나약국,약국,울산광역시 남구 돋질로 277-1 (삼산동),"{'lat': 35.5444611, 'lng': 129.3352079}",35.5444611,129.3352079
1475,유정약국,약국,"울산광역시 남구 문수로 338, 유원빌딩 (옥동)","{'lat': 35.5348499, 'lng': 129.290306}",35.5348499,129.290306
1476,조은약국,약국,울산광역시 남구 삼산로 8 (신정동),"{'lat': 35.5323419, 'lng': 129.3089213}",35.5323419,129.3089213
